rva	size	donor	donor_rva	symbol	unit	score	margin	target_strings	evidence
0x00081ab0	0x50	buka21	0x00033dde	?GetCursorBaseFrame@advManager@@QAEHH@Z	SOURCE/CURSOR	0.433000	0.016578		shape=0.083;size=0.975;calls=1.000;alternate=pol20:class resource * resourceManager::Query(unsigned long int)@0x000c8830:0.425373
0x00081b00	0x150	buka21	0x000d7630	_memmove	(libcmt)	0.312357	0.023039		shape=0.115;size=0.506;calls=1.000;alternate=pol20:int getMTFVal(struct BitStream *)@0x000d4e90:0.295170
0x00081c50	0x90	buka21	0x000d7ce0	_strcmp	(libcmt)	0.755408	0.323382		shape=0.886;size=0.896;calls=1.000;alternate=pol20:void heroWindowManager::AddWindow(class heroWindow *, int, int)@0x000cac80:0.294896
0x00081ce0	0x20	buka21	0x000b87c0	?Query@resourceManager@@QAEPAVresource@@K@Z	BASE/RESMGR	0.374662	0.006036		shape=0.136;size=0.582;calls=1.000;alternate=pol20:class resource * resourceManager::Query(unsigned long int)@0x000c8830:0.309459
0x00081d00	0x10	buka21	0x000d7f22	_srand	(libcmt)	0.494821	0.048338		shape=0.400;size=0.812;calls=1.000;alternate=pol20:void executive::constructor(void)@0x000d1610:0.364286
0x00081d10	0x30	buka21	0x000e0079	__getbuf	(libcmt)	0.359146	0.053572		shape=0.069;size=0.706;calls=1.000;alternate=pol20:int combatManager::GetWorstArmy(int, int)@0x000c2fbb:0.238797
0x00081d40	0x30	buka21	0x000d7b9e	__cinit	(libcmt)	0.694519	0.266162		shape=0.700;size=0.938;calls=1.000;alternate=pol20:void * listBoxWidget::scalar_dtor(unsigned int);   // virtual [override (implements widget pure virtual)]@0x000db0b0:0.346627
0x00081d70	0x20	buka21	0x000e241a	_strtol	(libcmt)	0.494375	0.000000		shape=0.500;size=0.719;calls=1.000;alternate=pol20:void BlitBitmapToScreenNoMouseCheck(class bitmap *, int, int, int, int, int, int)@0x000c5eb0:0.450950
0x00081d90	0x20	buka21	0x000e241a	_strtol	(libcmt)	0.494375	0.000000		shape=0.500;size=0.719;calls=1.000;alternate=pol20:void BlitBitmapToScreenNoMouseCheck(class bitmap *, int, int, int, int, int, int)@0x000c5eb0:0.450950
0x00081db0	0x90	buka21	0x000e40a3	___crtMessageBoxA	(libcmt)	0.422123	0.003978		shape=0.132;size=0.951;calls=0.857;alternate=pol20:int mouseManager::Open(int);   // virtual [override (implements baseManager pure virtual)]@0x000c9350:0.397671
0x00081e40	0x10	buka21	0x000e7eba	_tell	(libcmt)	0.477983	0.000000		shape=0.286;size=0.941;calls=1.000;alternate=pol20:void SRand(int)@0x000c6a50:0.410952
0x00081e50	0x10	buka21	0x000e7eba	_tell	(libcmt)	0.477983	0.000000		shape=0.286;size=0.941;calls=1.000;alternate=pol20:void SRand(int)@0x000c6a50:0.410952
0x00081e60	0x20	pol20	0x0009f9c6	void UpdateAppSpecificMenus(void *)	SOURCE/KB	0.402007	0.017340		shape=0.115;size=0.762;calls=1.000;alternate=buka21:__initterm@0x000d7cc2:0.400536
0x00081e80	0x30	buka21	0x000e7f20	__strrev	(libcmt)	0.479115	0.148165		shape=0.216;size=1.000;calls=1.000;alternate=pol20:void fullMap::constructor(void)@0x0000b070:0.425831
0x00081eb0	0x40	buka21	0x000be050	?SetInstallDefaults@@YIXXZ	BASE/Misc	0.466710	0.002132		shape=0.304;size=0.901;calls=1.000;alternate=pol20:long int FileSize(char *)@0x000c68c0:0.462024
0x00081ef0	0x150	buka21	0x000d9250	__fread_lk	(libcmt)	0.363506	0.002417		shape=0.206;size=0.690;calls=0.667;alternate=pol20:int DataEntryWindowHandler(struct tag_message &)@0x000c6e50:0.348429
